wildapricot-textmanager-config,,,,,,,
Wild Apricot Reference,Default Text,English Replacement Text,Alternate Language Text,Notes,Function,Query,Style
Contact Details,Secondary email,,Courriel secondaire,,text,div.fieldLabel span:contains(Secondary email),
Contact Details,Secondary Phone,,Téléphone secondaire,,text,div.fieldLabel span:contains(Secondary Phone),
Contact Details,Fax,,Fax,,text,div.fieldLabel span:contains(Fax),
Contact Details,Website,,Site Internet,,text,div.fieldLabel span:contains(Website),
Contact Details,Comma,,Publication Comma,,text,div.fieldLabel span:contains(Comma),
Contact Details,Billing Address,,Adresse de facturation,,text,div.fieldLabel span:contains(Billing Address),
Contact Details,Reference Number / Purchase Order,,Numéro de référence / Bon de commande,,text,div.fieldLabel span:contains(Reference Number / Purchase Order),
Contact Details,Do not invoice,,Ne pas facturer,,text,div.fieldLabel span:contains(Do not invoice),
Contact Details,LinkedIn,,LinkedIn,,text,div.fieldLabel span:contains(LinkedIn),
Contact Details,Twitter,,Twitter,,text,div.fieldLabel span:contains(Twitter),
Contact Details,Administrative Contact,,Contact administratif,,text,div.fieldLabel span:contains(Administrative Contact),
Contact Details,Administrative Contact,,Contact administratif,,text,div.fieldLabel span:contains(Administrative Contact),
Contact Details,Training Contact,,Contactez de Formation,,text,div.fieldLabel span:contains(Training Contact),
Contact Details,Check this if you do not want to receive the physical copy of comma,,Sélectionnez cette option si vous ne souhaitez pas recevoir la copie imprimée de Comma,,text,#idContainer14239988 > div > table > tbody > tr > td.right > div > div.typeInstruction,
Contact Details,I do not want to receive the physical version of comma,,Je ne souhaite pas recevoir la copie imprimée de Comma,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl37_RadioGroup14239988 > div > span.label > label > span,
Contact Details,I do not want to receive the physical version of comma,,Je ne souhaite pas recevoir la copie imprimée de Comma,,text,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl37_RadioGroup14239988 > div > span.label > label > span,
Contact Details,Fill in if the billing address is different from your institution's address.,,Renseignez votre adresse de facturation si elle est différente de l'adresse de votre institution.,,text,#idContainer14187102 > div > table > tbody > tr > td.right > div > div,
Contact Details,"Do you want to receive administrative emails (invoices, etc..)",,"Souhaitez-vous recevoir des courriels administratifs (factures, etc.)?",,text,#idContainer14258930 > div > table > tbody > tr > td.right > div > div.typeInstruction,
Contact Details,Yes,,Oui,,replace_element,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl42_RadioGroup14258930 > div > span.label > label > span,
Contact Details,No,,Non,,replace_element,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl42_RadioGroup14258930 > div > span.label > label > span,
Contact Details,Yes,,Oui,,replace_element,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl42_RadioGroup14258930 > div > span.label > label > span,
Contact Details,No,,Non,,replace_element,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl42_RadioGroup14258930 > div > span.label > label > span,
Contact Details,Do you want to receive communications about training?,,Voulez-vous recevoir les informations sur les formations?,,text,#idContainer14258931 > div > table > tbody > tr > td.right > div > div.typeInstruction,
Contact Details,Yes,,Oui,,replace_element,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl43_RadioGroup14258931 > div > span.label > label > span,
Contact Details,No,,Non,,replace_element,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl43_RadioGroup14258931 > div > span.label > label > span,
Contact Details,Yes,,Oui,,replace_element,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl43_RadioGroup14258931 > div > span.label > label > span,
Contact Details,No,,Non,,replace_element,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl43_RadioGroup14258931 > div > span.label > label > span,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Administrative Information,Administrative Information,,Informations administratives,,text,#idCaptionContainer14535699 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Administrative Information,ICA Roles,,Rôle au sein de l'ICA,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl53_titleLabel,
Administrative Information,Authenticated User,,Utilisateur authentifié,,replace_element,,
Administrative Information,ICA Member,,Membre d'ICA,,replace_element,,
Administrative Information,Anonymous User,,Utilisateur anonyme,,replace_element,,
Administrative Information,ICA Old Member,,Ancien member d'ICA,,replace_element,,
Administrative Information,Super Editor,,Super éditeur de groupe,,replace_element,,
Administrative Information,Trainee,,Stagiaire,,replace_element,,
Administrative Information,Administrator,,Administrateur,,replace_element,,
Administrative Information,Learner,,En formation,,replace_element,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Social network login,Social network login,,Se connecter via un compte de réseau social,,text,#idSocialLoginContainer > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4,
,,,,,,div.fieldLabel span:contains(),
Group participation,Group participation,,Participation au(x) groupe(s),,text,div.fieldLabel span:contains(Group participation),
,,,,,,,
Professional Sections,Professional sections,,Sections professionnelles,,text,#idCaptionContainer14258937 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Professional Sections,Professional Section 1,,Section professionnelle 1,,text,div.fieldLabel span:contains(Professional Section 1),
Professional Sections,Professional Section 2,,Section professionnelle 2,,text,div.fieldLabel span:contains(Professional Section 2),
Professional Sections,Professional Section 3,,Section professionnelle 3,,text,div.fieldLabel span:contains(Professional Section 3),
Professional Sections,Approved Section Roles,,Rôles approuvés dans les sections,,text,div.fieldLabel span:contains(Approved Section Roles),
Professional Sections,Section 1,,Section 1,,text,div.fieldLabel span:contains(Section 1),
Professional Sections,Section 1 Role,,Rôle dans la section 1,,text,div.fieldLabel span:contains(Section 1 Role),
Professional Sections,Please choose a first section to join.,, Veuillez choisir la première section à rejoindre,,text,#idContainer14258932 > div > table > tbody > tr > td.right > div > div,
Professional Sections,Section 2,,Section 2,,text,div.fieldLabel span:contains(Section 2),
Professional Sections,Please choose a second section to join.,,Veuillez choisir la deuxième section à rejoindre.,,text,#idContainer14258933 > div > table > tbody > tr > td.right > div > div,
Professional Sections,Section 2 Role,,Rôle dans la section 2,,text,div.fieldLabel span:contains(Section 2 Role),
Professional Sections,Section 3,,Section 3,,text,div.fieldLabel span:contains(Section 3),
Professional Sections,Please choose a third section to join.,,Veuillez choisir la troisième section à rejoindre.,,text,#idContainer14456290 > div > table > tbody > tr > td.right > div > div,
Professional Sections,Section 3 Role,,Rôle dans la section 3,,text,div.fieldLabel span:contains(Section 3 Role),
Professional Sections,None (selected),,Sans préférence,,replace,,
Professional Sections,Section for Archives of Faith Traditions - SAFT,,Section des archives des traditions de foi - SAFT,,replace,,
Professional Sections,Section for Archives of Parliaments and Political Parties - SPP,,Section des Archives des Parlements et des Partis politiques - SPP,,replace,,
Professional Sections,Section for Education and Training - SAE,,Section pour l'Enseignement de l'archivistique et la Formation des archivistes - SAE,,replace,,
Professional Sections,Section of International Organisations - SIO,,Section des organisations internationales - SIO,,replace,,
Professional Sections,"Section of Local, Municipal and Territorial Archives- SLMT",,"Section des Archives Locales, Municipales et Territoriales - SLMT",,replace,,
Professional Sections,Section on Architectural Records - SAR,,Section sur les Archives d'architecture - SAR,,replace,,
Professional Sections,Section on Archives and Human Rights - SAHR,,Section sur les Archives et les Droits de l'Homme - SAHR,,replace,,
Professional Sections,Section on Business Archives - SBA,,Section des archives du monde des entreprises - SBA,,replace,,
Professional Sections,Section on Literary and Artistic Archives - SLA,,Section sur les Archives Littéraires et Artistiques - SLA,,replace,,
Professional Sections,Section on Sports Archives - SPO,,Section des Archives du Sport - SPO,,replace,,
Professional Sections,Section on University and Research Institution Archives - SUV,,Section des Archives des Universités et des Institutions de Recherche - SUV,,replace,,
,,,,,,,
Branches,Apply to two branches,,Postulez à deux branches,,text,#idCaptionContainer14258938 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl49_TermsOfUse14456316 > li > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl30_termsOfUse14456406 > div > span.label > label > span > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_memberForm_memberFormRepeater_ctl32_TermsOfUse14456316 > li > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl48_termsOfUse14456406 > div > span.label,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl42_termsOfUse14456406 > div > span.label > label > span > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl42_TermsOfUse14456316,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl42_TermsOfUse14456316 > li > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl33_termsOfUse14456406 > div > span.label > label > span > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl48_TermsOfUse14456316 > li > a,
Branches,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl48_termsOfUse14456406 > div > span.label > label > span > a,
,,,,,,,
Branches,Regional Branches,,Branches régionales,,text,div.fieldLabel span:contains(Regional Branches),
Branches,None,,Sans préférence,,replace,,
Branches,Regular Member,,Membre,,replace,,
Branches,Executive Member,,Membre exécutif,,replace,,
Branches,President,,Président,,replace,,
Branches,Secretary,,Secrétaire,,replace,,
Branches,Vice President,,Vice-président,,replace,,
Branches,Administrator Member,,Membre administrateur,,replace,,
Branches,Group Editor,,Éditeur de groupe,,replace,,
Branches,Approved Branches Roles,,Rôles approuvés dans les branches,,text,div.fieldLabel span:contains(Approved Branches Roles),
Branches,Branche 1,,Branche 1,,text,div.fieldLabel span:contains(Branche 1),
Branches,Branche 1 Role,,Rôle dans la branche 1,,text,div.fieldLabel span:contains(Branche 1 Role),
Branches,Branche 2,,Branche 2,,text,div.fieldLabel span:contains(Branche 2),
Branches,Branche 2 Role,,Rôle dans la branche 2,,text,div.fieldLabel span:contains(Branche 2 Role),
,,,,,,div.fieldLabel span:contains(),
Expert Groups,Expert Groups,,Groupes d'experts,,text,div.fieldLabel span:contains(Expert Groups),
Expert Groups,Expert Groups Participation,,Participation aux groupes d'experts,,text,div.fieldLabel span:contains(Expert Groups Participation),
Expert Groups,None (selected),,Sans préférence,,replace,,
Expert Groups,Expert Group on Advocacy - AEG,,Groupe d’experts en sensibilisation - AEG,,replace,,
Expert Groups,Expert Group on Archive Buildings and Environments - EGABE,,Groupe d’experts sur les bâtiments d’archives et l’environnement - EGABE,,replace,,
Expert Groups,Photographic and Audiovisual Archives Working Group - PAAG,,Groupe Archives photographiques et audiovisuelles- PAAG,,replace,,
Expert Groups,Expert Group on Archival Description - EGAD,,Groupe d'experts sur la description archivistique - EGAD,,replace,,
Expert Groups,"Expert Group against Theft, Trafficking and Tampering - EGATTT",,"Groupe d’Experts contre le vol, le trafic et la falsification - EGATTT",,replace,,
Expert Groups,Expert Group on Appraisal - EGA,,Groupe d'experts sur l'évaluation des archives - EGA,,replace,,
Expert Groups,Expert Group on Emergency Management and Disaster Preparedness - EG EMDP,,Groupe d'experts sur la gestion des situations d'urgence et la préparation en cas de catastrophe - EG EMDP,,replace,,
Expert Groups,Expert Group on Indigenous Matters - EGIM,,Groupe d'Experts sur les Affaires Autochtones - EGIM,,replace,,
Expert Groups,Expert Group on Legal Matters - EGLM,,Groupe d'experts sur les affaires juridiques - EGLM,,replace,,
Expert Groups,Expert Group on Managing Digital and Physical Records EG-MDPR,,Groupe d’experts en gestion des documents numériques et analogiques EG-MDPR,,replace,,
Expert Groups,Expert Group on Research Services and Outreach - EGRSO,,Groupe d'experts sur les services de recherche et la promotion - EGRSO,,replace,,
Expert Groups,Expert Group on Shared Archival Heritage - EGSAH,,Groupe d'experts sur le patrimoine archivistique partagé - EGSAH,,replace,,
,,,,,,,
Governance,Governance,,Gouvernance,,text,div.fieldLabel span:contains(Governance),
Governance,Governance Group Participation,,Participation au groupes de gouvernance,,text,div.fieldLabel span:contains(Governance Group Participation),
Governance,None (selected),,Sans préférence,,replace,,
Governance,Executive Board - EB,,Comité Exécutif - EB,,replace,,
Governance,Programme Commission - PCOM,,Commission du Programme - PCOM,,replace,,
Governance,Evaluation Commission - ECOM,,Commission d'Evaluation - ECOM,,replace,,
Governance,FIDA,,FIDA,,replace,,
Governance,COMMA Editorial Board,,Comité éditorial de COMMA,,replace,,
Governance,Professional Sections Coordination,,Coordination des Sections Professionnelles,,replace,,
,,,,,,div.fieldLabel span:contains(),
FAN,Forum of National Archivists - FAN,,Forum des Archivistes Nationaux - FAN,,text,div.fieldLabel span:contains(Forum of National Archivists - FAN),
FAN,FAN Role,,Rôle dans le FAN,,text,div.fieldLabel span:contains(FAN Role),
FAN,President,,Président,,,,
FAN,Regular Member (selected),,Membre,,,,
FAN,Forum of Professional Association - FPA,,Forum des Associations Professionnelles - FPA,,text,#idCaptionContainer14365689 > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4 > div > span,
,,,,,,,
FPA,FPA Role,,Rôle dans le FPA,,text,div.fieldLabel span:contains(FPA Role),
,,,,,,div.fieldLabel span:contains(),
New Professionals,New Professionals Programme,,Programme Nouveaux Professionnels,,text,div.fieldLabel span:contains(New Professionals Programme),
New Professionals,New Professionals,,Nouveaux Professionnels,,text,div.fieldLabel span:contains(New Professionals),
New Professionals,None (selected),,Sans préférence,,replace,,
New Professionals,Current New Professional,,Nouveau professionnel actif,,replace,,
New Professionals,Old New Professional,,Ancien Nouveau Professionnel,,replace,,
New Professionals,Applicant,,Postulant,,replace,,
,,,,,,,
Professional Sections,Professional sections,,Sections professionnelles,,text,div.fieldLabel span:contains(Professional sections),
Professional Sections,None (selected),,Sans préférence,,replace,,
Professional Sections,Section for Archives of Faith Traditions - SAFT,,Section des archives des traditions de foi - SAFT,,replace,,
Professional Sections,Section for Archives of Parliaments and Political Parties - SPP,,Section des Archives des Parlements et des Partis politiques - SPP,,replace,,
Professional Sections,Section for Education and Training - SAE,,Section pour l'Enseignement de l'archivistique et la Formation des archivistes - SAE,,replace,,
Professional Sections,Section of International Organisations - SIO,,Section des organisations internationales - SIO,,replace,,
Professional Sections,"Section of Local, Municipal and Territorial Archives- SLMT",,"Section des Archives Locales, Municipales et Territoriales - SLMT",,replace,,
Professional Sections,Section on Architectural Records - SAR,,Section sur les Archives d'architecture - SAR,,replace,,
Professional Sections,Section on Archives and Human Rights - SAHR,,Section sur les Archives et les Droits de l'Homme - SAHR,,replace,,
Professional Sections,Section on Business Archives - SBA,,Section des archives du monde des entreprises - SBA,,replace,,
Professional Sections,Section on Literary and Artistic Archives - SLA,,Section sur les Archives Littéraires et Artistiques - SLA,,replace,,
Professional Sections,Section on Sports Archives - SPO,,Section des Archives du Sport - SPO,,replace,,
Professional Sections,Section on University and Research Institution Archives - SUV,,Section des Archives des Universités et des Institutions de Recherche - SUV,,replace,,
Dropdown group roles,None,,Sans préférence,,replace,,
Dropdown group roles,Regular Member,,Membre,,replace,,
Dropdown group roles,Executive Member,,Membre exécutif,,replace,,
Dropdown group roles,President,,Président,,replace,,
Dropdown group roles,Secretary,,Secrétaire,,replace,,
Dropdown group roles,Vice President,,Vice-président,,replace,,
Dropdown group roles,Administrator Member,,Membre administrateur,,replace,,
Dropdown group roles,Group Editor,,Éditeur de groupe,,replace,,
,,,,,,,
Invoices and payments,Invoices and payments,,Factures et paiements,,text,#ctl00_ContentArea_invoicesTabLabel,
Invoices and payments,Invoices and payments,,Factures et paiements,,replace,#FunctionalBlock1_ctl00_ctl00_invoicesTabLink,
Invoices and payments,Search,,Chercher,,replace,#idMemberInvoicesForm > div.genericList.xcontainer > div.genericListHeaderContainer > table > tbody > tr > td.searchBox > span,
Invoices and payments,Records found: ,,Résultats trouvés:,,replace,#idRecordsFoundLabel,
Invoices and payments,No records found.,,Aucun résultat trouvé,,replace,#idListItemsContainer > span,
Invoice and Payments,Pay online ,,Payer en ligne,,button,#payOnlineButton,
Invoice and Payments,Date,,Date,,replace,#membersTable>thead>tr>th.firstTh,
Invoice and Payments,Transaction,,Transaction,,replace,#membersTable>thead>tr>th.invoiceNumber,
Invoice and Payments,Balance due,,Solde dû,,replace,#idTopButtonsContainer > div.topButtonsContainer > div > div > div > div > div > div > div > div.d8 > div > div > span,
Invoice and Payments,Balance due,,Solde dû,,replace,#invoiceTopMessageHeaderId,
Invoice and Payments,Balance due,,Solde dû,,replace,#invoiceListTopMessageHeaderId,
Invoice and Payments,Balance due,,Solde dû,,replace,#membersTable>thead>tr>th.lastTh.rightAlign.status>span,
Invoice and Payments,Balance due,,Solde dû,,replace,#membersTable > thead > tr > th.lastTh.rightAlign.status,
Invoice and Payments,Invoice,,Facture,,replace,#membersTable,
Invoice and Payments,Invoice,,Facture,,replace,#idMemberInvoiceDetailsForm>h1,
Invoice and Payments,Item,,Article,,replace,#invoiceListTopMessageHeaderId,
Invoice and Payments,item\),item\(s\)\),article\(s\)\),,replace,#invoiceListTopMessageHeaderId,
Invoice and Payments,Items\),item\(s\)\),article\(s\)\),,replace,#invoiceListTopMessageHeaderId,
Invoice and Payments,Balance due:,,Solde dû:,,replace,#invoiceTopMessageHeaderId,
Invoice and Payments,Balance due:,,Solde dû:,,replace,#invoiceListTopMessageHeaderId,
Invoice and Payments,Item,,Article,,replace,#membersTable>thead>tr>th.memberDirectoryColumn1,
Invoice and Payments,Amount,,Montant,,replace,#membersTable > thead > tr > th.memberDirectoryColumn3.right,
Invoice and Payments,Invoice total,,Total de la facture,,replace,#membersTable > tbody > tr.totalRow > td.memberDirectoryColumn1.right,
Invoice and Payments,Date,,Date,,replace,#idMemberInvoiceDetailsForm>div.formContainer>div>div.sectionOuterContainer>div>div>div>div>div>div>div>div>div.d8>div>div>div:nth-child(4)>div>div.fieldLabel>span,
Invoice and Payments,Event registration,,Inscription à l'événement,,replace,#membersTable,
Invoice and Payments,Registration for,,Inscription pour,,replace,#membersTable,
Invoice and Payments,Member registration,,Inscription des membres,,replace,#membersTable,
Invoice and Payments,Member application,,Demande d'adhésion,,replace,#membersTable,
Invoice and Payments,Manual invoice,,Facture manuelle,,replace,#membersTable,
Invoice and Payments,New item,,Nouvel article,,replace,#membersTable,
Invoice and Payments,Payment,,Paiement,,replace,#membersTable,
Invoice and Payments,Check,,Chèque,,replace,#membersTable,
Invoice and Payments,Settled,,Paiement enregistré,,replace,#membersTable,
Invoice and Payments,Paid:,,Payé,,replace,#membersTable,
Invoice and Payments, Jan ,,Jan,,replace,#membersTable,
Invoice and Payments, Feb ,,Fév,,replace,#membersTable,
Invoice and Payments, Mar ,,Mars,,replace,#membersTable,
Invoice and Payments, Apr ,,Avr,,replace,#membersTable,
Invoice and Payments, May ,,Mai,,replace,#membersTable,
Invoice and Payments, Jun ,,Juin,,replace,#membersTable,
Invoice and Payments, Jul ,,Juil,,replace,#membersTable,
Invoice and Payments, Aug ,,Août,,replace,#membersTable,
Invoice and Payments, Sep ,,Sep,,replace,#membersTable,
Invoice and Payments, Oct ,,Oct,,replace,#membersTable,
Invoice and Payments, Nov ,,Nov,,replace,#membersTable,
Invoice and Payments, Dec ,,Déc,,replace,#membersTable,
,,,,,,,
Invoice and Payments Details,Available balance,,Solde disponible,,replace_element,#idMemberPaymentDetailsForm > div > div > div:nth-child(2) > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(1) > div > div.fieldLabel > span,
Invoice and Payments Details,Tender,,Moyen de paiement,,replace_element,#idMemberPaymentDetailsForm > div > div > div:nth-child(2) > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(4) > div > div.fieldLabel > span,
Invoice and Payments Details,Received from,,Réglé par,,,#idMemberPaymentDetailsForm > div > div > div:nth-child(2) > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(5) > div > div.fieldLabel > span,
Invoice and Payments Details,Details,,Détails,,,#idMemberPaymentDetailsForm > div > div > div:nth-child(1) > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4,
Invoice and Payments Details,Payment for,,Motif de paiement,,,#idMemberPaymentDetailsForm > div > div > div:nth-child(3) > div.captionContainer > div > div > div > div > div > div > div > div > div > div > div.fieldBody > h4,
Invoice and Payments Details,Membership application,,Demande d'adhésion,,replace,#membersTable > tbody,
Invoice and Payments Details,Level,,Niveau,,replace,#membersTable > tbody,
Invoice and Payments Details,Category,,Catégorie,,replace,#membersTable > tbody,
Invoice and Payments Details,Individual,,Indiividuel,,replace,#membersTable > tbody,
Invoice and Payments Details,Digital,,Numérique,,replace,#membersTable > tbody,
Membership levels,Reduced,,Réduit,,replace,#membersTable > tbody,
,,,,,,,
Invoice and Payments Details,Invoice ,,Invoice ,,,#idMemberInvoiceDetailsForm>div.formContainer>div>div.sectionOuterContainer>div>div>div>div>div>div>div>div>div.d8>div>div>div:nth-child(3)>div>div.fieldLabel>span,
Invoice and Payments Details,If you make a payment and your application is rejected we will refund your payment. ,,"Si vous faites un paiement et que votre application est rejetée, nous allons rembourser votre paiement.",,replace,#topMessageBoxDiv>div>div>div.cww-inner>div>div.text,
Invoice and Payments,If you make a payment and your application is rejected we will refund your payment. ,,"Si vous faites un paiement et que votre application est rejetée, nous allons rembourser votre paiement.",,replace,#paymentInstructionsBoxGroup,
WaGadgetFinDocument,Amount,,Montant,Invoice,text,div.fieldLabel > span:contains(Amount),
WaGadgetFinDocument,Amount,,Montant,Invoice,text,#membersTable > thead > tr > th.memberDirectoryColumn3.right,
WaGadgetFinDocument,Date/Time ,Date,Date,Invoice,text,div.fieldLabel > span:contains(Date),
WaGadgetFinDocument,Event registration,,Inscription à l'événement,Invoice,text,#idMemberInvoiceDetailsForm > div.formContainer > div > div.sectionOuterContainer > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(5) > div > div.fieldBody > span > a,
WaGadgetFinDocument,Invoice #,,Facture #,Invoice,text,div.fieldLabel > span:contains(Invoice #),
WaGadgetFinDocument,Invoice details,,Détails de la facture,Invoice,text,h4:contains(Invoice details),
WaGadgetFinDocument,Invoice total,,Total de la facture,Invoice,text,#membersTable > tbody > tr.totalRow > td.memberDirectoryColumn1.right,
WaGadgetFinDocument,Invoiced to,,Facturé à,Invoice,text,div.fieldLabel > span:contains(Invoiced to),
WaGadgetFinDocument,Item,,Article,Invoice,text,#membersTable > thead > tr > th.memberDirectoryColumn1,
WaGadgetFinDocument,Origin,,Origine,Invoice,text,div.fieldLabel > span:contains(Origin),
WaGadgetFinDocument,Waiting for payment,,En attente de paiement,Invoice,text,#topMessageBoxDiv > div > div > div.cww-inner > div > div:nth-child(3):contains(Waiting for payment),
,,,,,,,
LOGIN FORM,,,,,,,
WaGadgetLoginForm,Please login to continue to the page you have requested.,,Veuillez vous connecter pour continuer.,,Inactive,#id_vYBwh32 > div > p,
WaGadgetLoginForm,Please log in to continue,,Veuillez vous connecter pour continuer vers la page que demandée.,,Inactive,#id_vYBwh32 > div > h3,
WaGadgetLoginForm,Email,,Adresse courriel,,placeholder,.emailTextBoxControl,
WaGadgetLoginForm,Password,,Mot de passe,,placeholder,.passwordTextBoxControl,
WaGadgetLoginForm,Remember me,,Se souvenir de moi,,text,.loginActionRememberMe > label,
WaGadgetLoginForm,Log in,,Se connecter,,button,.loginButton,
WaGadgetLoginForm,Forgot password,,Mot de passe oublié,,text,.loginPasswordForgot > a,
WaGadgetLoginForm,"These terms of use apply to your use of Wild Apricot’s websites, mobile apps, and services.",,,,,,
WaGadgetLoginForm,Accept Wild Apricot’s Terms of Use,,Accepter les conditions d'utilisation de Wild Apricot,,text,#id_kFafP3I > div > h3,
,"These terms of use apply to your use of Wild Apricot’s websites, mobile apps, and services.",,"Ces conditions d'utilisation s'appliquent à votre utilisation des sites Web, des applications mobiles et des services de Wild Apricot.",,text,#id_kFafP3I > div > p,
WaGadgetLoginForm,I agree to the,,Je suis d'accord avec le,,replace,#id_kFafP3I > div > h3,
WaGadgetLoginForm,"To log in, you must agree to the terms of use",,"Pour vous connecter, vous devez accepter les conditions d'utilisation.",,text,#ctl00_ContentArea_termsOfUse_termsOfUseValidatorDiv,
WaGadgetLoginForm,terms of use,,conditions d'utilisation,,replace,#id_kFafP3I > div > h3,
WaGadgetLoginForm,"for Wild Apricot’s websites, mobile apps, and services",,"pour les sites web, les applications mobiles et les services de Wild Apricot",,replace,#id_kFafP3I > div > h4,
WaGadgetLoginForm,Continue,,Continuer,,button,#ctl00_ContentArea_submitButton,
WaGadgetLoginForm,Cancel,,Annuler,,button,#ctl00_ContentArea_cancelButton,
,,,,,,,
SSO Login form,,Login en/fr/es,Login en/fr/es,,text,#idLoginBox > div.label,
SSO Login form,,,,,,,
SSO Login form,,,,,,,
SSO Login form,,,,,,,
SSO Login form,,,,,,,
SSO Login form,,,,,,,
,,,,,,,
,,,,,,,
Membership levels,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_stepTemplate_cancel,
Membership levels,Next,,Suivant,,button,#FunctionalBlock1_ctl00_ctl00_stepTemplate_next,
Membership levels,Change,,Changer,,replace_element,#FunctionalBlock1_ctl00_ctl00_Membership_sharedMembershipLevelView_changeLevelButton,
Membership levels,"Description:
 - Category A members represent a National or Federal Archives institution.
 - The membership dues are submitted to a vote at the General Assembly and set depending on the Pays's PIB. To know more about the scale of dues, please, contact the ICA Secrétarial via this contact form or via members@ica.org 
- Category A membership to ICA gives you the right to vote at the Annual General Assembly (4 votes) and to become a member of the Forum of National Archivists",,"Description :  - Les membres de catégorie A représentent des Archives nationales et fédérales - Les frais d'inscription sont soumis au vote à l'Assemblée Générale et déterminés en fonction du PIB du pays. Pour en savoir plus sur le barême des cotisations, merci de contacter le secrétariat de l'ICA via ce formulaire de contact ou via members@ica.org - Etre membre A de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (4 votes). Vous devenez également membre du Forum des archivistes nationaux (FAN).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Category B members represent international associations
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B représentent des associations internationales - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
